0,1,2,3,4,brand,model,trim,body_type,fuel_type,transmission_type,engine_capacity_cc,horsepower,exterior_color,interior_color,warranty,city,seller_type,price
-4.782625648978661,-7.971404429415452,3.029460965807102,1.5106489307787692,1.1317624398108717,Porsche,Panamera,4,Sedan,Petrol,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,White,Unknown,Yes,Dubai,Dealer,259000
-4.861091606749576,-8.153524314224743,0.0008763871296783684,3.5962306133603956,2.6228363442983555,Porsche,Carrera / 911,Carrera S,Coupe,Petrol,Automatic Transmission,3000 - 3499 cc,400 - 499 HP,Red,Black,Yes,Dubai,Dealer,358000
-4.762092527351099,-7.785055366926546,6.349701321334392,1.0593035917439864,-5.897716319757485,Hyundai,Sonata,SE,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Black,Black,No,Dubai,Owner,25000
-4.917832679171771,-8.32860922484509,,7.258303269466296,-9.273310724787237,McLaren,Senna,Standard,Coupe,Petrol,Automatic Transmission,Unknown,700 - 799 HP,Black,Black,No,Dubai,Dealer,4600
-4.75099267623402,,7.378176594735426,7.009140040051153,-11.089757087299756,Mercedes-Benz,G-Class,G 63 AMG,SUV,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,Black,Black,Yes,Dubai,Dealership/Certified Pre-Owned,725000
-4.753274824914906,-8.27878223754636,0.7107458697627111,5.522470685738661,4.592948792004767,Mercedes-Benz,S-Class,S 560 4MATIC,Sedan,Petrol,Automatic Transmission,4000+ cc,400 - 499 HP,White,Black,Yes,Dubai,Dealer,254000
-4.723474784646801,-8.101106788043076,0.8723320270924397,0.8473676878954103,0.5524075774993717,Mercedes-Benz,C-Class,C300 Luxury,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,White,White,Does not apply,Dubai,Owner,89000
-4.7323933506189215,-7.786854853493038,2.7535583153608902,1.8236944577231995,4.989801736379703,BMW,X5,xDrive35i,SUV,Petrol,Automatic Transmission,3000 - 3499 cc,400 - 499 HP,Black,Brown,No,Dubai,Owner,92000
-4.799151654966149,-8.167934033113479,7.425783207615907,5.6832758809583535,-13.965598233219755,Lamborghini,Urus,Standard,SUV,Petrol,Automatic Transmission,3500 - 3999 cc,600 - 699 HP,Grey,Black,No,Dubai,Dealer,1050
-4.978037433906364,-8.305219980552874,0.0007809844356603822,0.5157132522161885,-1.1882757658833223,BMW,i8,Other,Soft Top Convertible,Petrol,Automatic Transmission,Unknown,300 - 399 HP,Brown,Brown,No,Dubai,Dealer,350000
-4.776106706984883,-8.199530026386501,196.39236279384002,0.9733790910437308,-15.984449890351534,Suzuki,Grand Vitara,Other,SUV,Hybrid,Automatic Transmission,1000 - 1499 cc,200 - 299 HP,Silver,Black,No,Dubai,Dealer,85000
-4.771301595567496,-7.863776870712018,0.8539957296516629,3.390746338898528,13.059541279595717,Land Rover,Range Rover Sport,Supercharged Autobiography Ultimate Edition,SUV,Petrol,Automatic Transmission,4000+ cc,400 - 499 HP,White,Unknown,Does not apply,Dubai,Owner,139000
-4.799504088804933,-7.771134249954038,2.5034601007312283,2.15085380240592,11.983615598829736,Volkswagen,Jetta,Comfortline,Sedan,Petrol,Automatic Transmission,1500 - 1999 cc,200 - 299 HP,White,Black,Does not apply,Sharjah,Owner,25000
-4.7825187981205834,-8.122361209906177,2.4614195737119955,,-15.141163602706758,BMW,iX,Other,SUV,Electric,Automatic Transmission,Unknown,600 - 699 HP,Blue,Brown,Yes,Abu Dhabi,Owner,445000
-4.758727205628538,-8.181557700570185,162.52886450857017,0.2734275838691312,-7.028171350505773,Audi,e-tron,Other,SUV,Electric,Automatic Transmission,Unknown,400 - 499 HP,Beige,Brown,Yes,Dubai,Owner,269000
